timestamp	tags	url	archived url
2024-06-26T11:05:37	meta	https://tmblr.co/ZRhtoOftzS_A4q00	https://web.archive.org/20251207170828/https://www.tumblr.com/records-of-transmisogyny/754341734331400192/please-submit-info
2024-06-26T11:08:30	ad hypocrisy	https://tmblr.co/ZRhtoOftzVcwee00	https://web.archive.org/20251207170727/https://www.tumblr.com/records-of-transmisogyny/754341915534721024
2024-06-26T17:32:35	bans,archived	https://tmblr.co/ZRhtoOfu2-FoWa00	https://web.archive.org/20251207170828/https://www.tumblr.com/records-of-transmisogyny/754366079958138880
2024-06-26T17:33:01	bans,ad hypocrisy,archived	https://tmblr.co/ZRhtoOfu2-fUmq00	https://web.archive.org/20251207170828/https://www.tumblr.com/records-of-transmisogyny/754366107544141824
2024-06-26T17:33:32	ad hypocrisy,archived	https://tmblr.co/ZRhtoOfu307Muq00	https://web.archive.org/20251207170711/https://www.tumblr.com/records-of-transmisogyny/754366139624275968/this-is-new-i-cant-even-see-the-post-its-just
2024-06-26T17:33:52	bans,archived	https://tmblr.co/ZRhtoOfu30QWCm00	https://web.archive.org/20251207170801/https://www.tumblr.com/records-of-transmisogyny/754366160181592064
2024-06-26T17:34:15	bans,important,archived	https://tmblr.co/ZRhtoOfu30mt0i00	https://web.archive.org/20251207170815/https://www.tumblr.com/records-of-transmisogyny/754366184186626048
2024-06-26T17:34:34	bans,archived	https://tmblr.co/ZRhtoOfu313Pqm00	https://web.archive.org/20251207171629/https://www.tumblr.com/records-of-transmisogyny/754366204098052096
2024-06-26T17:34:57	bans,archived	https://tmblr.co/ZRhtoOfu31QUym00	https://web.archive.org/20251207171629/https://www.tumblr.com/records-of-transmisogyny/754366228880097280
2024-06-26T17:36:03	mature hypocrisy,bans,archived	https://tmblr.co/ZRhtoOfu32Qmye00	https://web.archive.org/20251207171646/https://www.tumblr.com/records-of-transmisogyny/754366297901531136
2024-06-26T17:36:24	bans,archived	https://tmblr.co/ZRhtoOfu32lJ8W00	https://web.archive.org/20251207171649/https://www.tumblr.com/records-of-transmisogyny/754366319949905920
2024-06-26T17:36:42	bans,archived	https://tmblr.co/ZRhtoOfu330xSe00	https://web.archive.org/20251207171654/https://www.tumblr.com/records-of-transmisogyny/754366338879881216
